Order.Reference,Order.Referenz,,,,
Order.Auftraggeber($MD),Order.Auftraggeber($MD),siehe Daten zu @Operator,,,
Order.Rechnungsempfänger($MD),Order.Rechnungsempfänger($MD),siehe Daten zu @Operator,,,
Order.Unit.Container-Order($PD),Order.Unit.Container-Order($PD),"{1}, siehe Daten zu @Container-Order",,,
Order.Unit.Ware,Order.Unit.Ware,,,,
Order.Transport.Direction,Order.Transport.Direction,"Import, Export",,,
Order.Transport.PickUp.Location.Name,Order.Transport.PickUp.Location.Name,{1},,,
Order.Transport.PickUp.Location.Type,Order.Transport.PickUp.Location.Type,"Loading Place, Sea-Terminal, Hinterland-Terminal ",,,
Order.Transport.PickUp.Unit.Empty,Order.Transport.PickUp.Unit.Empty,Ja / nein,,,
Order.Transport.PickUp.Unit.Reference,Order.Transport.PickUp.Unit.Reference,,,,
Order.Transport.PickUp.Unit.Operator($MD),Order.Transport.PickUp.Unit.Operator($MD),siehe Daten zu @Operator,,,
Order.Transport.PickUp.Earliest,Order.Transport.PickUp.Earliest,"DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z)",,,
Order.Transport.PickUp.Latest,Order.Transport.PickUp.Latest,"DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z)",,,
Order.Transport.PickUp.mot,Order.Transport.PickUp.mot,Means of Transport,,,
Order.Transport.DropOff.Location.Type,Order.Transport.DropOff.Location.Type,"Loading Place, Sea-Terminal, Hinterland-Terminal ",,,
Order.Transport.DropOff.Location.Name,Order.Transport.DropOff.Location.Name,{1},,,
Order.Transport.DropOff.Unit.Empty,Order.Transport.DropOff.Unit.Empty,Ja / nein,,,
Order.Transport.DropOff.Unit.Reference,Order.Transport.DropOff.Unit.Reference,,,,
Order.Transport.DropOff.Unit.Operator($MD),Order.Transport.DropOff.Unit.Operator($MD),siehe Daten zu @Operator,,,
Order.Transport.DropOff.Earliest,Order.Transport.DropOff.Earliest,ug+,,,
Order.Transport.DropOff.Latest,Order.Transport.DropOff.Latest,"DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z)
Ggf. synonym zu „Closing“",,,
Order.Transport.DropOff.mot,Order.Transport.DropOff.mot,Means of Transport,,,
Order.Transport.Stop.Location.Name,Order.Transport.Stop.Location.Name,{1-n} (auch Multistops etc.),,,
Order.Transport.Stop.Location.Type,Order.Transport.Stop.Location.Type,"Loading Place, Sea-Terminal, Hinterland-Terminal, Zollstop, Verwiegung etc.",,,
Order.Transport.Stop.Sequence,Order.Transport.Stop.Sequence,,,,
Order.Transport.Stop.Earliest,Order.Transport.Stop.Earliest,"DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z)",,,
